,precision,recall,f1-score,support
Among Us,0.9551282051282052,0.9933333333333333,0.9738562091503268,150.0
Apex Legends,0.9517241379310345,0.92,0.9355932203389831,150.0
Fortnite,0.9337748344370861,0.94,0.93687707641196,150.0
Forza Horizon,0.9496402877697842,0.88,0.9134948096885813,150.0
Free Fire,0.9150326797385621,0.9333333333333333,0.9240924092409241,150.0
Genshin Impact,0.9290322580645162,0.96,0.9442622950819672,150.0
God of War,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
Minecraft,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0
Roblox,0.9861111111111112,0.9466666666666667,0.9659863945578231,150.0
Terraria,0.9240506329113924,0.9733333333333334,0.948051948051948,150.0
accuracy,0.9526666666666667,0.9526666666666667,0.9526666666666667,0.9526666666666667
macro avg,0.9531116071029052,0.9526666666666666,0.9525514251039793,1500.0
weighted avg,0.9531116071029052,0.9526666666666667,0.9525514251039793,1500.0
